esquema,tabla,fuente_origen,dominio_oficial,prioridad,justificacion
bronze,customersv3,Dynamics 365 F&O,Cliente,P1,Base de identidad + CreditLimit 100% poblado 651367 filas
bronze,d365_customerv3,Dynamics 365 F&O,Cliente,P1,Confirmar si es duplicado de customersv3 antes de conformar
gold,dw_cresa_persona_dim,SIAC,Cliente,P1,Nucleo demografico 768727 filas
gold,dw_cresa_persona_siac_dim,SIAC,Cliente,P1,Complementaria a persona_dim
staging,solicitud_credicresa,CrediCresa/Resuelve,Cliente,P1,Solicitudes de credito
gold,dw_cresa_estado_credito_dim,CrediCresa/Resuelve,Cliente,P1,Estado de credito
gold,dw_cresa_rango_mora_dim,CrediCresa/Resuelve,Cliente,P1,Rango de mora - insumo escalera de mora
gold,dw_cresa_dias_atraso_dim,CrediCresa/Resuelve,Cliente,P1,Dias de atraso - insumo flag_contactable
gold,dw_cresa_cartera_saldos_fact,CrediCresa/Resuelve,Cliente,P1,Fact granular 191.7M filas - insumo directo cupo_disponible
silver,base_concrecion_cliente,Canal/Origen interno,Cliente,P1,Estructura existe requiere activar captura (0 filas)
gold,dw_cresa_producto_dim,Dynamics 365,Producto,P1,Base del maestro - requiere resolver 5 backups
bronze,d365_releasedproductsv2,Dynamics 365 F&O,Producto,P1,Producto liberado a venta
bronze,d365_productattributevaluesv3,Dynamics 365 F&O,Producto,P1,Atributos EAV requiere pivotar
gold,dw_cresa_clase_producto_dim,Dynamics 365,Producto,P1,Jerarquia comercial
externo_cresa,rlx_products,RELEX,Producto,P1,Export ya activo - candidato a consumir maestro certificado
